tag_id,created_at,updated_at,ttype,content,entity_id
506,2025-12-04 17:36:23.956529,2025-12-04 17:36:23.956529,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",471
507,2025-12-04 17:36:23.964028,2025-12-04 17:36:23.964028,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",472
508,2025-12-04 17:36:23.96821,2025-12-04 17:36:23.96821,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",258
509,2025-12-04 17:36:23.973037,2025-12-04 17:36:23.973037,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",157
510,2025-12-04 17:36:23.980185,2025-12-04 17:36:23.980185,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",473
511,2025-12-04 17:36:23.987709,2025-12-04 17:36:23.987709,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",474
512,2025-12-04 17:36:23.994311,2025-12-04 17:36:23.994311,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",475
513,2025-12-04 17:36:24.001374,2025-12-04 17:36:24.001374,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",476
514,2025-12-04 17:36:24.00888,2025-12-04 17:36:24.00888,SourceProperty,"{""name"": ""HackerTarget"", ""confidence"": 80}",477
828,2025-12-04 17:36:29.939926,2025-12-04 17:36:29.939926,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",291
859,2025-12-04 17:36:30.128139,2025-12-04 17:36:30.128139,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",260
892,2025-12-04 17:36:30.327843,2025-12-04 17:36:30.327843,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",251
893,2025-12-04 17:36:30.337804,2025-12-04 17:36:30.337804,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",697
895,2025-12-04 17:36:30.344149,2025-12-04 17:36:30.344149,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",286
896,2025-12-04 17:36:30.351949,2025-12-04 17:36:30.351949,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",698
897,2025-12-04 17:36:30.356527,2025-12-04 17:36:30.356527,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",403
898,2025-12-04 17:36:30.360931,2025-12-04 17:36:30.360931,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",355
4671,2025-12-04 19:40:58.835714,2025-12-04 19:40:58.835714,SimpleProperty,"{""property_name"": ""last_monitored"", ""property_value"": ""DNS-IP""}",3616
900,2025-12-04 17:36:30.37287,2025-12-04 17:36:30.37287,SourceProperty,"{""name"": ""RapidDNS"", ""confidence"": 70}",699
